subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,39,intro,Der Ingenieur kalkulierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,39,distr_inan,Der Entwurf kalkulierte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,39,distr_anim,Der Künstler kalkulierte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,39,subject,Die Architektin kalkulierte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,42,intro,Die Lektorin machte weiter.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,42,subject,Die Autorin machte weiter.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,42,distr_anim,Der Verleger machte weiter.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,42,distr_inan,Der Verlag machte weiter.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,74,distr_anim,Der Pharmazeut erkrankte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,74,subject,Die Laborantin erkrankte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,74,distr_inan,Das Virus erkrankte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,74,intro,Der Virologe erkrankte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,10,distr_inan,Die Software telefonierte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,10,distr_anim,Die Klientin telefonierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,10,subject,Die Steuerberaterin telefonierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,10,intro,Die Sekretärin telefonierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,51,distr_anim,Die Bewerberin entschied.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,51,subject,Der Personalchef entschied.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,51,intro,Der Inhaber entschied.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,51,distr_inan,Die Qualifikation entschied.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,60,subject,Der Dichter schrieb.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,60,intro,Der Assistent schrieb.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,60,distr_anim,Der Kritiker schrieb.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,60,distr_inan,Die Schreibblockade schrieb.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,62,subject,Der Witwer trank.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,62,distr_anim,Der Einbrecher trank.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,62,intro,Die Nachbarin trank.,6,27,weiblich,deutsch,nein,nein,master
